0.084493 0.151522 0.000000 0.000000
0.085230 0.174651 0.000000 0.000000
0.085894 0.204354 0.000000 0.000000
0.086514 0.233511 1771153915904.000000 1779488784384.000000
0.084592 0.250953 28738536341504.000000 115487568560128.000000
0.083486 0.263845 1864870907609088.000000 7493622714859520.000000
0.082184 0.271169 120990439909097472.000000 486146626679734272.000000
0.082065 0.276549 508992291101413998592.000000 132020311909390413201408.000000
0.081995 0.277915 -0.000000 -0.000000
0.078912 0.265752 -3635456277217280.000000 -273291778525708053781676032.000000
0.076007 0.252017 -5118633682155565218009522905955696640.000000 -5118712593405429425289766075730231296.000000
0.074418 0.241729 -nan -nan
0.072617 0.230650 -nan -nan
0.071366 0.221955 -nan -nan
0.070994 0.217013 -nan -nan
0.071502 0.215911 -nan -nan
